,Substance,Source,Type of Event,Region,Event Category,Substance_num,Source_num,Grouped Events
0,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
1,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
2,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
3,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
4,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
5,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
6,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
7,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
8,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
9,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
10,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
11,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
12,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
13,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
14,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
15,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
16,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
17,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
18,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
19,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
20,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
21,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
22,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
23,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
24,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
25,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
26,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
27,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
28,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
29,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
30,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
31,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
32,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
33,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
34,Opioids,Deaths,Total apparent substance deaths,Canada,1,1,1,
35,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
36,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
37,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
38,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
39,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
40,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
41,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
42,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
43,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
44,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
45,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
46,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
47,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
48,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
49,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
50,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
51,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
52,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
53,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
54,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
55,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
56,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
57,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
58,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
59,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
60,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
61,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
62,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
63,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
64,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
65,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
66,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
67,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
68,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
69,Opioids,Deaths,Total apparent substance deaths,British Columbia,1,1,1,
70,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
71,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
72,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
73,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
74,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
75,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
76,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
77,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
78,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
79,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
80,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
81,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
82,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
83,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
84,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
85,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
86,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
87,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
88,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
89,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
90,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
91,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
92,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
93,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
94,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
95,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
96,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
97,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
98,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
99,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
100,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
101,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
102,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
103,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
104,Opioids,Deaths,Total apparent substance deaths,Alberta,1,1,1,
105,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
106,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
107,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
108,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
109,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
110,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
111,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
112,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
113,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
114,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
115,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
116,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
117,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
118,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
119,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
120,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
121,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
122,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
123,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
124,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
125,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
126,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
127,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
128,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
129,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
130,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
131,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
132,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
133,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
134,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
135,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
136,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
137,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
138,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
139,Opioids,Deaths,Total apparent substance deaths,Saskatchewan,1,1,1,
140,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
141,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
142,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
143,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
144,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
145,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
146,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
147,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
148,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
149,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
150,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
151,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
152,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
153,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
154,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
155,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
156,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
157,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
158,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
159,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
160,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
161,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
162,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
163,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
164,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
165,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
166,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
167,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
168,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
169,Opioids,Deaths,Total apparent substance deaths,Manitoba,1,1,1,
170,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
171,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
172,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
173,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
