Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2016,,,Crude rate,7.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2016,,,Number,2825
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2016,,,Age-adjusted rate,7.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2017,,,Crude rate,10.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2017,,,Number,3916
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2017,,,Age-adjusted rate,10.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2018,,,Crude rate,11.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2018,,,Number,4389
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2018,,,Age-adjusted rate,11.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2019,,,Crude rate,10.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2019,,,Number,3830
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2019,,,Age-adjusted rate,10.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2020,,,Crude rate,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2020,,,Number,6214
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,2020,,,Age-adjusted rate,17.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q1,,,Number,666
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q2,,,Number,636
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q3,,,Number,654
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2016 Q4,,,Number,859
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q1,,,Number,920
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q2,,,Number,1018
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q3,,,Number,1051
